"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","G (P)","A (P)","+/- (P)","PPP (P)","SOG (P)","BLK (P)","W (G)","GA (G)","SV (G)","SHO (G)","Image"
"453.p.5382","43","Noesen","Stefan","NJ","Available","","LW,RW","","","","","13","9","-1","9","61","9","","","","","https://s.yimg.com/iu/api/res/1.2/qUCrvkmhOXMAdpYe6WGmOw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10082024/5382.png"
"453.p.7264","44","Hagel","Brandon","TB","Available","","LW,RW","104.6","9.2","$1.5","100%","12","19","12","4","67","16","","","","","https://s.yimg.com/iu/api/res/1.2/a4Tpkm1ONt7Uxsp2cW.2ng--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/7264.png"
"453.p.7636","45","Batherson","Drake","OTT","Available","","LW,RW","116.1","10.2","$2.0","100%","9","18","-1","12","56","8","","","","","https://s.yimg.com/iu/api/res/1.2/3faJojNPyTC3LeXyuGNEjQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/7636.png"
"453.p.7886","46","Lankinen","Kevin","VAN","Available","","G","175.6","15.1","$0.0","6%","","","","","","","13","50","494","2","https://s.yimg.com/iu/api/res/1.2/.T6jPT55jUKxlJI_SiQXCw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10042024/7886.png"
"453.p.6391","47","Pastrnak","David","BOS","Available","","RW","5.7","1.0","$54.5","100%","9","18","-4","5","115","6","","","","","https://s.yimg.com/iu/api/res/1.2/Psv_XEcFpeytY_tbQmnIzA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10102024/6391.png"
"453.p.6402","48","Barbashev","Ivan","VGK","Available","","C,LW","167.9","14.4","$0.0","12%","13","15","13","1","47","15","","","","","https://s.yimg.com/iu/api/res/1.2/Gq5DAPrE4a.IqCXTHXY_VQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/6402.png"
"453.p.7541","49","Oettinger","Jake","DAL","Available","","G","29.4","2.9","$28.0","100%","","","","","","","13","45","458","1","https://s.yimg.com/iu/api/res/1.2/ZobV0ABvLQtAkhgBbvtpJA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10032024/7541.png"
"453.p.6777","50","Aho","Sebastian","CAR","Available","","C","40.9","3.9","$18.5","100%","7","22","-6","13","71","9","","","","","https://s.yimg.com/iu/api/res/1.2/vfGl._mvv55geom01kyJ2g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10022024/6777.png"
"453.p.4681","51","Tavares","John","TOR","Available","","C","98.6","8.7","$7.0","100%","12","11","5","4","88","19","","","","","https://s.yimg.com/iu/api/res/1.2/Ia.3TaUacpARAnu9qrLLcg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10262023/4681.png"
"453.p.7170","52","Woll","Joseph","TOR","Available","","G","94.4","8.3","$9.5","100%","","","","","","","7","22","249","1","https://s.yimg.com/iu/api/res/1.2/Gtaq6J8Y.HkwY6igOKXWtQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10042024/7170.png"
"453.p.3788","53","Kopitar","Anze","LA","Available","","C","156.0","13.5","$1.5","64%","8","23","13","10","33","18","","","","","https://s.yimg.com/iu/api/res/1.2/JYY5ctg98qH3czGlPpRu6g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/3788.png"
